epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7571,1.24472,5.0953,1.26227,0.01231,0.85385,0.10219,0.07475,0.97153,3.41342,1.0494,0.000149943,0.000149943,0.000149943
2,34.7959,1.13651,3.83759,1.16106,0.28156,0.4079,0.31225,0.21966,0.94774,2.27572,1.09457,0.000295638,0.000295638,0.000295638
3,50.6843,1.062,3.31677,1.14504,0.33656,0.49244,0.41128,0.29691,0.92107,2.07929,1.11059,0.000435327,0.000435327,0.000435327
4,66.5269,1.04154,2.90494,1.11939,0.45803,0.60149,0.60303,0.44654,0.9103,1.69572,1.06862,0.000427973,0.000427973,0.000427973
5,82.4531,1.00287,2.61026,1.0941,0.48954,0.68145,0.64266,0.48727,0.8833,1.50425,1.05688,0.000418964,0.000418964,0.000418964
6,98.4269,0.97047,2.32444,1.09045,0.64562,0.69353,0.7414,0.57081,0.88032,1.37944,1.05682,0.000409955,0.000409955,0.000409955
7,114.629,0.95678,2.15911,1.08968,0.68114,0.67159,0.75848,0.59045,0.84778,1.38763,1.03769,0.000400946,0.000400946,0.000400946
8,131.334,0.93973,1.98865,1.07354,0.75151,0.68032,0.79615,0.63189,0.80543,1.20641,1.0266,0.000391937,0.000391937,0.000391937
9,147.819,0.9219,1.82732,1.06914,0.83781,0.74276,0.84603,0.66235,0.81739,1.03525,1.02614,0.000382928,0.000382928,0.000382928
10,164.067,0.92749,1.72615,1.07014,0.74357,0.7514,0.84531,0.6546,0.8587,1.08571,1.03579,0.000373919,0.000373919,0.000373919
11,180.162,0.9024,1.61637,1.05099,0.76076,0.78249,0.85605,0.6768,0.83071,1.00706,1.04176,0.00036491,0.00036491,0.00036491
12,196.54,0.90155,1.52655,1.0484,0.83313,0.80893,0.89006,0.71078,0.80947,0.9376,1.00972,0.000355901,0.000355901,0.000355901
13,212.987,0.87022,1.43299,1.03794,0.81751,0.82061,0.89515,0.70684,0.81425,0.93514,1.01011,0.000346892,0.000346892,0.000346892
14,229.347,0.85309,1.3742,1.012,0.89473,0.77164,0.89509,0.71291,0.78318,0.86496,0.98839,0.000337883,0.000337883,0.000337883
15,245.601,0.84684,1.3254,1.02704,0.85225,0.83423,0.91729,0.73648,0.78864,0.81816,0.9978,0.000328874,0.000328874,0.000328874
16,261.86,0.8579,1.29715,1.02362,0.85445,0.83643,0.91314,0.73987,0.77068,0.81218,0.97912,0.000319865,0.000319865,0.000319865
17,278.344,0.86201,1.2633,1.01943,0.87122,0.84366,0.91302,0.73659,0.76495,0.79581,0.98439,0.000310856,0.000310856,0.000310856
18,294.853,0.80128,1.1578,0.9961,0.87897,0.84471,0.91467,0.74551,0.74221,0.76103,0.97168,0.000301847,0.000301847,0.000301847
19,311.47,0.80866,1.15622,1.01351,0.87309,0.84509,0.92214,0.74363,0.77725,0.75976,0.98729,0.000292838,0.000292838,0.000292838
20,328.01,0.80425,1.1491,1.00711,0.88343,0.85557,0.9299,0.75164,0.75566,0.74134,0.98677,0.000283829,0.000283829,0.000283829
21,344.575,0.81154,1.08396,1.00399,0.86485,0.86234,0.94005,0.76637,0.75987,0.7153,0.97568,0.00027482,0.00027482,0.00027482
22,361.178,0.78826,1.04689,1.00024,0.92547,0.83131,0.93332,0.75819,0.74811,0.70729,0.9821,0.000265811,0.000265811,0.000265811
23,377.634,0.75054,0.99247,0.97614,0.88818,0.89087,0.94114,0.76372,0.77144,0.7032,0.9823,0.000256802,0.000256802,0.000256802
24,393.992,0.75005,0.97164,0.98799,0.88609,0.86958,0.93928,0.76001,0.7646,0.68488,0.98978,0.000247793,0.000247793,0.000247793
25,410.311,0.78037,0.97311,0.99574,0.87297,0.90558,0.9429,0.76335,0.73807,0.68328,0.9762,0.000238784,0.000238784,0.000238784
26,426.657,0.73993,0.92702,0.96675,0.91435,0.89196,0.94576,0.77537,0.73774,0.65031,0.96388,0.000229775,0.000229775,0.000229775
27,442.979,0.76277,0.91971,0.9819,0.86218,0.87848,0.93647,0.76611,0.7373,0.68177,0.9678,0.000220766,0.000220766,0.000220766
28,459.306,0.76347,0.94595,0.98377,0.88699,0.90439,0.94999,0.774,0.73539,0.63753,0.96408,0.000211757,0.000211757,0.000211757
29,475.586,0.76021,0.89228,0.98499,0.93261,0.90085,0.95741,0.77891,0.7236,0.60111,0.9619,0.000202748,0.000202748,0.000202748
30,491.942,0.74227,0.853,0.9696,0.94914,0.85523,0.95035,0.77486,0.74075,0.63221,0.97715,0.000193739,0.000193739,0.000193739
31,508.218,0.73017,0.85585,0.95897,0.90124,0.91152,0.95589,0.78752,0.72835,0.61036,0.95948,0.00018473,0.00018473,0.00018473
32,524.59,0.74491,0.83773,0.97609,0.93572,0.87117,0.94921,0.77849,0.72473,0.63178,0.96339,0.000175721,0.000175721,0.000175721
33,540.918,0.73133,0.82285,0.96414,0.95208,0.87712,0.96028,0.79164,0.71736,0.59812,0.95054,0.000166712,0.000166712,0.000166712
34,557.311,0.70506,0.7766,0.95751,0.92051,0.9171,0.95879,0.7893,0.7176,0.57727,0.95009,0.000157703,0.000157703,0.000157703
35,573.509,0.72904,0.80043,0.95595,0.90507,0.92408,0.95858,0.78626,0.7167,0.58571,0.95067,0.000148694,0.000148694,0.000148694
36,589.781,0.71778,0.7877,0.96226,0.92311,0.92406,0.96057,0.79421,0.71438,0.56462,0.95747,0.000139685,0.000139685,0.000139685
37,606.204,0.7025,0.74298,0.94726,0.94733,0.90665,0.95777,0.79725,0.70438,0.55982,0.95068,0.000130676,0.000130676,0.000130676
38,622.613,0.69842,0.75315,0.95411,0.94333,0.90328,0.9631,0.80176,0.69363,0.58327,0.94316,0.000121667,0.000121667,0.000121667
39,638.931,0.69629,0.75553,0.95079,0.95228,0.90727,0.96325,0.79893,0.70245,0.55357,0.95139,0.000112658,0.000112658,0.000112658
40,655.339,0.68432,0.73134,0.94618,0.93437,0.91917,0.96517,0.7933,0.71632,0.54863,0.94834,0.000103649,0.000103649,0.000103649
41,672.42,0.59153,0.557,0.89895,0.90667,0.9261,0.96191,0.79506,0.70783,0.56663,0.95757,9.464e-05,9.464e-05,9.464e-05
42,688.748,0.58085,0.54744,0.90147,0.93953,0.92329,0.96525,0.79662,0.71516,0.54013,0.94973,8.5631e-05,8.5631e-05,8.5631e-05
43,704.803,0.57942,0.53523,0.89895,0.94031,0.89971,0.96245,0.79742,0.70468,0.53892,0.95218,7.6622e-05,7.6622e-05,7.6622e-05
44,720.866,0.57549,0.5191,0.89348,0.94046,0.90419,0.9591,0.80023,0.70104,0.55273,0.95166,6.7613e-05,6.7613e-05,6.7613e-05
45,737.079,0.56376,0.5199,0.89338,0.9316,0.92106,0.95828,0.80078,0.69598,0.53121,0.95012,5.8604e-05,5.8604e-05,5.8604e-05
46,753.256,0.55443,0.50094,0.88118,0.93991,0.90926,0.96222,0.80281,0.69685,0.53018,0.94979,4.9595e-05,4.9595e-05,4.9595e-05
47,769.476,0.54937,0.49217,0.87758,0.94071,0.89801,0.95566,0.79694,0.70227,0.54275,0.95081,4.0586e-05,4.0586e-05,4.0586e-05
48,785.718,0.55062,0.4926,0.88656,0.94264,0.9191,0.9622,0.80362,0.69486,0.52313,0.948,3.1577e-05,3.1577e-05,3.1577e-05
49,801.887,0.54155,0.48625,0.88393,0.95715,0.90998,0.95931,0.79937,0.69446,0.52475,0.94713,2.2568e-05,2.2568e-05,2.2568e-05
50,818.007,0.53258,0.49381,0.88576,0.95373,0.911,0.96071,0.80194,0.69693,0.52659,0.9495,1.3559e-05,1.3559e-05,1.3559e-05
